,Gastrocnemius,Tibialis Anterior,Soleus,Vastus Medialis,Vastus Lateralis,Rectus Femoris,Biceps Femoris,Semitendinosus,Gracilis,Gluteus Medius
27341,0.04056441,0.5337746,0.055744503,0.04390914,0.053999793,0.08093763,0.049334124,0.06179198,0.18670975,0.07313327
27342,0.039003074,0.51339215,0.05313021,0.04146165,0.05343007,0.07580826,0.045451473,0.057985574,0.16442856,0.073336594
27343,0.04019171,0.50053114,0.053774312,0.036921985,0.04869509,0.0732017,0.04210792,0.054759685,0.1438611,0.07283972
27344,0.04115755,0.48613518,0.055887695,0.034404907,0.046010602,0.076008506,0.045143142,0.05949789,0.13456893,0.06986264
27345,0.034313083,0.46627954,0.04805338,0.031819846,0.044745598,0.07422354,0.054856185,0.07357101,0.1263977,0.060885727
27346,0.031562977,0.4308011,0.042972844,0.031452626,0.04577698,0.0676913,0.07594588,0.10387999,0.12109553,0.055320308
27347,0.03590766,0.38923967,0.044914804,0.033658836,0.048885543,0.06329142,0.10636003,0.14430577,0.12545067,0.05671849
27348,0.036490347,0.36419952,0.042297095,0.03471006,0.049327,0.05962432,0.13512424,0.18785995,0.13345115,0.055408474
27349,0.033556398,0.34861654,0.035531223,0.039140247,0.054947905,0.062947094,0.17721716,0.25817007,0.14902397,0.054279152
27350,0.031515714,0.33506638,0.03226759,0.04613732,0.064619176,0.06756671,0.2248068,0.34259465,0.16501825,0.057654325
27351,0.031028775,0.32236153,0.031313147,0.05490003,0.07637194,0.07199208,0.27079183,0.42701584,0.17745914,0.060382444
27352,0.03452536,0.31570175,0.030359747,0.06953264,0.091623805,0.081762075,0.32056805,0.51634514,0.18950367,0.0670298
27353,0.037332326,0.30813655,0.031168815,0.085621044,0.10336322,0.093201615,0.3593174,0.5991796,0.19880801,0.076243125
27354,0.037193082,0.3062781,0.03094444,0.098355696,0.11572772,0.10826992,0.40182558,0.67998064,0.21305884,0.084545225
27355,0.037453223,0.31404942,0.032489065,0.111026086,0.13377364,0.12805504,0.45707074,0.7530593,0.23271371,0.09038563
27356,0.03820468,0.3262812,0.037103157,0.1222305,0.15237573,0.14758551,0.5263822,0.81547177,0.25410837,0.09255827
27357,0.04100795,0.33775473,0.04473771,0.1393576,0.17510505,0.1719068,0.5898348,0.8500695,0.27428117,0.09355701
27358,0.043688133,0.3484011,0.05535911,0.16003133,0.20274787,0.20033352,0.63333213,0.8527166,0.30051917,0.09315893
27359,0.045607574,0.36594135,0.06339816,0.17803165,0.23815414,0.22715667,0.6588608,0.82763875,0.3392387,0.09297546
27360,0.049877312,0.39017376,0.06906337,0.19352247,0.28019568,0.24814631,0.669257,0.77971333,0.37709355,0.09711542
27361,0.054944813,0.42652303,0.07611975,0.20523441,0.32091463,0.26830524,0.66822404,0.72342443,0.4126103,0.1018399
27362,0.05856515,0.47727564,0.0834983,0.21463208,0.36056837,0.28871718,0.65744174,0.66498125,0.43889698,0.10920842
27363,0.060982756,0.5426925,0.09056342,0.23042133,0.40527776,0.3097776,0.6327687,0.58648074,0.44626373,0.12400202
27364,0.06659824,0.61870044,0.10273313,0.25755662,0.45812714,0.3324457,0.60855544,0.5013506,0.4429671,0.15633474
27365,0.07231252,0.68821305,0.11163577,0.29118863,0.51072043,0.35873765,0.5847009,0.4377497,0.4426778,0.20710911
27366,0.069820225,0.7493328,0.11385105,0.33363682,0.5723557,0.3878737,0.5629837,0.38679233,0.442364,0.27178124
27367,0.06283272,0.7994618,0.114645034,0.39234042,0.63861495,0.42228144,0.546833,0.34268114,0.4350355,0.35401312
27368,0.054992102,0.83253616,0.11433327,0.45824358,0.6913757,0.456943,0.5275041,0.30582997,0.41113988,0.42966202
